"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.512,0.928000000000001,1.28,1.632,2.016,2.368,2.72,3.04,3.424,3.84,4.192,4.608
"2",0.448,0.736000000000001,1.088,1.472,1.824,2.24,2.592,2.912,3.264,3.648,3.968,4.576
"3",0.415999999999997,0.735999999999997,1.12,1.504,1.856,2.272,2.592,2.944,3.36,3.712,4.096,4.576
"4",0.448,0.799999999999997,1.184,1.568,1.952,2.4,2.72,3.104,3.648,3.968,4.48,4.832
"5",0.543999999999997,0.896000000000001,1.28,1.6,2.016,2.336,2.688,3.008,3.328,3.744,4.064,4.448
"6",0.384,0.671999999999997,0.991999999999997,1.344,1.696,2.08,2.496,2.784,3.136,3.488,3.808,4.256
"7",0.415999999999997,0.735999999999997,1.088,1.408,1.76,2.11199999999999,2.4,2.752,3.136,3.424,3.776,4.16
